text,true_label,predicted_label,confidence,positive_probability,negative_probability,correct
"`` Our extensive co-operation will also bolster SysOpen Digia 's position in the domestic operator market , '' Kallioranta adds .",POSITIVE,POSITIVE,0.9996,0.9996,0.0004,True
"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",POSITIVE,POSITIVE,0.9906,0.9906,0.0094,True
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",POSITIVE,POSITIVE,0.6526,0.6526,0.3474,True
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",POSITIVE,POSITIVE,0.9974,0.9974,0.0026,True
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",POSITIVE,POSITIVE,0.9996,0.9996,0.0004,True
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",POSITIVE,NEGATIVE,0.906,0.094,0.906,False
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",POSITIVE,NEGATIVE,0.9555,0.0445,0.9555,False
Increased trust of our clients in YIT can be seen as apartment sales accelerated .,POSITIVE,POSITIVE,0.9903,0.9903,0.0097,True
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",POSITIVE,NEGATIVE,0.592,0.408,0.592,False
"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",POSITIVE,POSITIVE,0.9134,0.9134,0.0866,True
The bank sees a potential for Getinge share to rise .,POSITIVE,POSITIVE,0.9674,0.9674,0.0326,True
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",POSITIVE,POSITIVE,0.9903,0.9903,0.0097,True
The cooperation will double The Switch 's converter capacity .,POSITIVE,NEGATIVE,0.896,0.104,0.896,False
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,POSITIVE,POSITIVE,0.9998,0.9998,0.0002,True
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",POSITIVE,POSITIVE,0.9953,0.9953,0.0047,True
"This truly takes efficiency to new heights , '' Mr. Metso adds .",POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',POSITIVE,POSITIVE,0.9942,0.9942,0.0058,True
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",POSITIVE,POSITIVE,0.9629,0.9629,0.0371,True
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",POSITIVE,NEGATIVE,0.9168,0.0832,0.9168,False
"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",POSITIVE,POSITIVE,0.9971,0.9971,0.0029,True
"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",POSITIVE,POSITIVE,0.9997,0.9997,0.0003,True
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",POSITIVE,NEGATIVE,0.9857,0.0143,0.9857,False
LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,POSITIVE,POSITIVE,0.994,0.994,0.006,True
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",POSITIVE,POSITIVE,0.9926,0.9926,0.0074,True
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",POSITIVE,POSITIVE,0.999,0.999,0.001,True
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",POSITIVE,POSITIVE,0.9998,0.9998,0.0002,True
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",POSITIVE,POSITIVE,0.9974,0.9974,0.0026,True
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",POSITIVE,POSITIVE,0.9769,0.9769,0.0231,True
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",POSITIVE,NEGATIVE,0.9191,0.0809,0.9191,False
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,POSITIVE,NEGATIVE,0.9149,0.0851,0.9149,False
"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",POSITIVE,POSITIVE,0.9348,0.9348,0.0652,True
"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries",POSITIVE,POSITIVE,0.9971,0.9971,0.0029,True
4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,POSITIVE,POSITIVE,0.8875,0.8875,0.1125,True
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
`` Ixonos has a rich heritage in developing leadership experiences in the smartphone segment .,POSITIVE,POSITIVE,0.9989,0.9989,0.0011,True
`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,POSITIVE,POSITIVE,0.9992,0.9992,0.0008,True
18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,POSITIVE,NEGATIVE,0.9191,0.0809,0.9191,False
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",POSITIVE,NEGATIVE,0.9783,0.0217,0.9783,False
"The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says .",POSITIVE,NEGATIVE,0.8396,0.1604,0.8396,False
The new technology improves the glass quality and consistency while increasing throughput .,POSITIVE,POSITIVE,0.9996,0.9996,0.0004,True
"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",POSITIVE,POSITIVE,0.9997,0.9997,0.0003,True
We look forward to helping the company develop its operational services and further digitalize its services for its customers . '',POSITIVE,POSITIVE,0.998,0.998,0.002,True
"`` The number of collection errors fell considerably , and operations speeded up .",POSITIVE,POSITIVE,0.7253,0.7253,0.2747,True
"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",POSITIVE,NEGATIVE,0.9976,0.0024,0.9976,False
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",POSITIVE,NEGATIVE,0.9987,0.0013,0.9987,False
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",POSITIVE,NEGATIVE,0.9969,0.0031,0.9969,False
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,POSITIVE,NEGATIVE,0.9966,0.0034,0.9966,False
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,POSITIVE,NEGATIVE,0.9989,0.0011,0.9989,False
"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",POSITIVE,NEGATIVE,0.9979,0.0021,0.9979,False
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,POSITIVE,NEGATIVE,0.9982,0.0018,0.9982,False
"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",POSITIVE,NEGATIVE,0.9984,0.0016,0.9984,False
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",POSITIVE,NEGATIVE,0.9979,0.0021,0.9979,False
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",POSITIVE,NEGATIVE,0.9955,0.0045,0.9955,False
"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",POSITIVE,NEGATIVE,0.9956,0.0044,0.9956,False
"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",POSITIVE,NEGATIVE,0.9988,0.0012,0.9988,False
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,POSITIVE,NEGATIVE,0.9975,0.0025,0.9975,False
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,POSITIVE,NEGATIVE,0.9959,0.0041,0.9959,False
Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,POSITIVE,NEGATIVE,0.9976,0.0024,0.9976,False
"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",POSITIVE,NEGATIVE,0.9934,0.0066,0.9934,False
"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",POSITIVE,NEGATIVE,0.9961,0.0039,0.9961,False
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",POSITIVE,NEGATIVE,0.9979,0.0021,0.9979,False
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",POSITIVE,NEGATIVE,0.9984,0.0016,0.9984,False
"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",POSITIVE,NEGATIVE,0.9987,0.0013,0.9987,False
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,POSITIVE,NEGATIVE,0.9995,0.0005,0.9995,False
Unit costs for flight operations fell by 6.4 percent .,POSITIVE,NEGATIVE,0.9993,0.0007,0.9993,False
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,POSITIVE,NEGATIVE,0.9993,0.0007,0.9993,False
Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .,POSITIVE,NEGATIVE,0.9825,0.0175,0.9825,False
"According to Sepp+ñnen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency .",POSITIVE,NEGATIVE,0.9976,0.0024,0.9976,False
The costs of the new ropax vessels are 30 % lower than those of the present ones .,POSITIVE,NEGATIVE,0.9984,0.0016,0.9984,False
The program 's target is structural cost reductions of about EUR 30mn in 2009 .,POSITIVE,NEGATIVE,0.9925,0.0075,0.9925,False
UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .,POSITIVE,NEGATIVE,0.5231,0.4769,0.5231,False
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",NEGATIVE,NEGATIVE,0.9994,0.0006,0.9994,True
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",NEGATIVE,NEGATIVE,0.9996,0.0004,0.9996,True
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",NEGATIVE,NEGATIVE,0.9938,0.0062,0.9938,True
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,NEGATIVE,NEGATIVE,0.9995,0.0005,0.9995,True
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,NEGATIVE,NEGATIVE,0.9996,0.0004,0.9996,True
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,NEGATIVE,NEGATIVE,0.9996,0.0004,0.9996,True
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",NEGATIVE,NEGATIVE,0.9991,0.0009,0.9991,True
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",NEGATIVE,NEGATIVE,0.9994,0.0006,0.9994,True
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",NEGATIVE,NEGATIVE,0.9912,0.0088,0.9912,True
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",NEGATIVE,NEGATIVE,0.9996,0.0004,0.9996,True
"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",NEGATIVE,NEGATIVE,0.9995,0.0005,0.9995,True
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",NEGATIVE,NEGATIVE,0.9927,0.0073,0.9927,True
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",NEGATIVE,NEGATIVE,0.9822,0.0178,0.9822,True
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,NEGATIVE,NEGATIVE,0.9878,0.0122,0.9878,True
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",NEGATIVE,NEGATIVE,0.9917,0.0083,0.9917,True
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",NEGATIVE,NEGATIVE,0.9928,0.0072,0.9928,True
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",POSITIVE,NEGATIVE,0.9761,0.0239,0.9761,False
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,POSITIVE,POSITIVE,0.8927,0.8927,0.1073,True
The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .,POSITIVE,POSITIVE,0.501,0.501,0.499,True
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",POSITIVE,NEGATIVE,0.8799,0.1201,0.8799,False
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",POSITIVE,NEGATIVE,0.8578,0.1422,0.8578,False
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",POSITIVE,NEGATIVE,0.9445,0.0555,0.9445,False
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",POSITIVE,NEGATIVE,0.9906,0.0094,0.9906,False
Also construction expenses have gone up in Russia .,NEGATIVE,NEGATIVE,0.9043,0.0957,0.9043,True
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,NEGATIVE,NEGATIVE,0.9963,0.0037,0.9963,True
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",NEGATIVE,NEGATIVE,0.9972,0.0028,0.9972,True
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",NEGATIVE,NEGATIVE,0.9981,0.0019,0.9981,True
Salonen added that data shows producers ' pulp inventories in North America are declining . ',NEGATIVE,NEGATIVE,0.9997,0.0003,0.9997,True
The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,NEGATIVE,NEGATIVE,0.9997,0.0003,0.9997,True
"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",POSITIVE,POSITIVE,0.9932,0.9932,0.0068,True
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",POSITIVE,POSITIVE,0.9958,0.9958,0.0042,True
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
"Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news .",POSITIVE,NEGATIVE,0.8673,0.1327,0.8673,False
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",POSITIVE,POSITIVE,0.9994,0.9994,0.0006,True
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",POSITIVE,POSITIVE,0.9935,0.9935,0.0065,True
"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",POSITIVE,NEGATIVE,0.9674,0.0326,0.9674,False
"Finnish industrial investor Panostaja Oyj OMX Helsinki : PNAAS OMX Helsinki : PNABS said on Friday 11 July that it has signed a deal to acquire the entire share capital of Kospa Oy , the manufacturer of waste disposal equipment .",POSITIVE,NEGATIVE,0.8889,0.1111,0.8889,False
"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",POSITIVE,NEGATIVE,0.9875,0.0125,0.9875,False
Cash Flow from Operations for the most recent quarter also reached a eight year low .,NEGATIVE,NEGATIVE,0.9995,0.0005,0.9995,True
Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .,POSITIVE,NEGATIVE,0.7114,0.2886,0.7114,False
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",POSITIVE,NEGATIVE,0.9996,0.0004,0.9996,False
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",POSITIVE,NEGATIVE,0.9959,0.0041,0.9959,False
"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",POSITIVE,NEGATIVE,0.9936,0.0064,0.9936,False
"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .",POSITIVE,NEGATIVE,0.9968,0.0032,0.9968,False
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",POSITIVE,NEGATIVE,0.9972,0.0028,0.9972,False
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,POSITIVE,NEGATIVE,0.998,0.002,0.998,False
"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",POSITIVE,NEGATIVE,0.9983,0.0017,0.9983,False
"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",POSITIVE,NEGATIVE,0.9961,0.0039,0.9961,False
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",POSITIVE,NEGATIVE,0.9968,0.0032,0.9968,False
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",POSITIVE,NEGATIVE,0.9965,0.0035,0.9965,False
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,POSITIVE,POSITIVE,0.9965,0.9965,0.0035,True
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",POSITIVE,POSITIVE,0.9998,0.9998,0.0002,True
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",POSITIVE,NEGATIVE,0.9961,0.0039,0.9961,False
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",POSITIVE,NEGATIVE,0.9887,0.0113,0.9887,False
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",POSITIVE,NEGATIVE,0.9909,0.0091,0.9909,False
"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",POSITIVE,NEGATIVE,0.9964,0.0036,0.9964,False
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,NEGATIVE,NEGATIVE,0.9993,0.0007,0.9993,True
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",NEGATIVE,POSITIVE,0.9967,0.9967,0.0033,False
"At this growth rate , paying off the national debt will be extremely painful .",NEGATIVE,NEGATIVE,0.9992,0.0008,0.9992,True
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,NEGATIVE,NEGATIVE,0.999,0.001,0.999,True
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",NEGATIVE,NEGATIVE,0.9958,0.0042,0.9958,True
"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",NEGATIVE,NEGATIVE,0.9961,0.0039,0.9961,True
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,POSITIVE,NEGATIVE,0.9622,0.0378,0.9622,False
"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",POSITIVE,POSITIVE,0.9895,0.9895,0.0105,True
`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,POSITIVE,POSITIVE,0.9958,0.9958,0.0042,True
Repeats sees 2008 EBITA above 18 pct of sales .,POSITIVE,NEGATIVE,0.989,0.011,0.989,False
` By separating side businesses we will be able to faster expand and develop Tapro retail network .,POSITIVE,POSITIVE,0.9829,0.9829,0.0171,True
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",POSITIVE,POSITIVE,0.9548,0.9548,0.0452,True
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",POSITIVE,POSITIVE,0.9972,0.9972,0.0028,True
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",POSITIVE,POSITIVE,0.9997,0.9997,0.0003,True
`` The Government has had a very professional approach in assessing the offer .,POSITIVE,POSITIVE,0.9813,0.9813,0.0187,True
"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
`` This is a win for all OEMs targeting to develop WiMAX products .,POSITIVE,POSITIVE,0.9998,0.9998,0.0002,True
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",POSITIVE,NEGATIVE,0.9134,0.0866,0.9134,False
"Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer , bypasses Elcoteq Tallinn , says Jan Kotka , CEO of Elcoteq Tallinn .",POSITIVE,NEGATIVE,0.9504,0.0496,0.9504,False
"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",POSITIVE,POSITIVE,0.9953,0.9953,0.0047,True
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",POSITIVE,POSITIVE,0.9995,0.9995,0.0005,True
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",POSITIVE,POSITIVE,0.9998,0.9998,0.0002,True
Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,POSITIVE,NEGATIVE,0.5769,0.4231,0.5769,False
"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",POSITIVE,POSITIVE,0.9993,0.9993,0.0007,True
"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",POSITIVE,NEGATIVE,0.7242,0.2758,0.7242,False
"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",POSITIVE,POSITIVE,0.9842,0.9842,0.0158,True
Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,POSITIVE,POSITIVE,0.9998,0.9998,0.0002,True
Demand was brisk as expected and order levels have remained high .,POSITIVE,POSITIVE,0.8263,0.8263,0.1737,True
"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",POSITIVE,POSITIVE,0.7844,0.7844,0.2156,True
