text,predicted_label,confidence,positive_probability,negative_probability
"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries .",POSITIVE,0.9943,0.9943,0.0057
Other shareholder entitlements became effective today .,POSITIVE,0.9946,0.9946,0.0054
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,POSITIVE,0.999,0.999,0.001
"Our solutions are industry-independent supporting multilingual and currency needs , modular and applicable to companies of all sizes , '' CEO Ilkka Sihvo said .",POSITIVE,0.9979,0.9979,0.0021
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",POSITIVE,0.9991,0.9991,0.0009
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",POSITIVE,0.9946,0.9946,0.0054
Performance is based on values and sustainability .,POSITIVE,0.9997,0.9997,0.0003
Pertti Ervi is independent from the Company and its major shareholders .,POSITIVE,0.9958,0.9958,0.0042
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) .",NEGATIVE,0.9234,0.0766,0.9234
"Poyry Energy GmbH is Austria 's leading engineering and consulting company in the energy , infrastructure and environment sector , owned by Poyry Plc. and the Austrian Verbund AG .",POSITIVE,0.9973,0.9973,0.0027
Press release 3 September 2009 Ruukki continues to be listed in two Dow Jones Sustainability Indexes : DJSI World and DJSI STOXX .,POSITIVE,0.9868,0.9868,0.0132
"Previously , the plant was expected to be completed by the end of 2008 .",NEGATIVE,0.9735,0.0265,0.9735
Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,NEGATIVE,0.9148,0.0852,0.9148
"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",POSITIVE,0.9922,0.9922,0.0078
QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,POSITIVE,0.9974,0.9974,0.0026
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,NEGATIVE,0.9855,0.0145,0.9855
"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .",NEGATIVE,0.9961,0.0039,0.9961
"Regulatory News : The Nomination Committee of Cybercom ( STO : CYBE ) , which is unanimous in its proposal , proposes the election of Jon Risfelt as the new Chairman of the Board .",POSITIVE,0.9793,0.9793,0.0207
"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport , whereby information can be read and saved remotely .",NEGATIVE,0.9958,0.0042,0.9958
"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services .",POSITIVE,0.9984,0.9984,0.0016
"S&P has kept its `` sell '' rating , while Nordea and UBS have reaffirmed their `` buy '' recommendations .",POSITIVE,0.9631,0.9631,0.0369
"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .",POSITIVE,0.9968,0.9968,0.0032
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",POSITIVE,0.9846,0.9846,0.0154
Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares .,POSITIVE,0.7532,0.7532,0.2468
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",POSITIVE,0.994,0.994,0.006
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,NEGATIVE,0.9595,0.0405,0.9595
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",POSITIVE,0.981,0.981,0.019
South America and Asia are other promising markets .,POSITIVE,0.998,0.998,0.002
Sponda plans to renovate old real estate and develop new property .,POSITIVE,0.9487,0.9487,0.0513
Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .,POSITIVE,0.9329,0.9329,0.0671
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",NEGATIVE,0.7727,0.2273,0.7727
"Stonesoft is a global provider of proven , next generation solutions that simplify network security management .",POSITIVE,0.9991,0.9991,0.0009
Strategic and operational business information is objectively reported .,POSITIVE,0.9991,0.9991,0.0009
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",POSITIVE,0.6826,0.6826,0.3174
Symphony Services provides development services for Aldata GOLD .,POSITIVE,0.9935,0.9935,0.0065
Technopolis 's technological centers supply their clients with modern high-class premises .,POSITIVE,0.9978,0.9978,0.0022
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",POSITIVE,0.9908,0.9908,0.0092
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",POSITIVE,0.9033,0.9033,0.0967
The adjustment measures will be carried out in phases to secure the delivery capability .,POSITIVE,0.614,0.614,0.386
The agreement is valid for four years .,POSITIVE,0.9958,0.9958,0.0042
"The alliance aims to tap pocketable mobile computers , netbooks , tablets , mediaphones , connected TVs and in-vehicle infotainment systems .",NEGATIVE,0.9501,0.0499,0.9501
The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,POSITIVE,0.9861,0.9861,0.0139
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",NEGATIVE,0.997,0.003,0.997
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",POSITIVE,0.9988,0.9988,0.0012
"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",NEGATIVE,0.7447,0.2553,0.7447
The business section also includes Ahlstrom 's sustainability report .,POSITIVE,0.9759,0.9759,0.0241
"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services .",POSITIVE,0.999,0.999,0.001
The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000 .,NEGATIVE,0.96,0.04,0.96
"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .",POSITIVE,0.9992,0.9992,0.0008
"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories .",POSITIVE,0.9994,0.9994,0.0006
"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .",POSITIVE,0.9879,0.9879,0.0121
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",NEGATIVE,0.9988,0.0012,0.9988
The company is presently examining whether the project would be financially feasible .,NEGATIVE,0.9951,0.0049,0.9951
The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities .,NEGATIVE,0.9349,0.0651,0.9349
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,POSITIVE,0.9494,0.9494,0.0506
The company specialises in temporary electrification and heating at construction sites .,POSITIVE,0.9268,0.9268,0.0732
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",POSITIVE,0.9888,0.9888,0.0112
The deliveries started in April 2006 and will be completed in 2007 .,POSITIVE,0.9893,0.9893,0.0107
The desk will reach its full planned strength of ten persons in autumn 2007 .,POSITIVE,0.99,0.99,0.01
"The dividend is payable on February 1 , 2010 to shareholders of record on January 19 , 2010 .",POSITIVE,0.7386,0.7386,0.2614
"The dividend will be paid on April 15 , 2008 to each of the shareholders who on the record date of April 8 , 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd. .",NEGATIVE,0.7549,0.2451,0.7549
The effect of the savings will be noticeable from the beginning of 2010 .,POSITIVE,0.9934,0.9934,0.0066
"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .",POSITIVE,0.9992,0.9992,0.0008
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,NEGATIVE,0.9797,0.0203,0.9797
The event can be followed on-line via Orion 's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live .,NEGATIVE,0.9858,0.0142,0.9858
The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,POSITIVE,0.9953,0.9953,0.0047
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",POSITIVE,0.9996,0.9996,0.0004
The first of the two project phases is expected to be completed by the end of 2012 .,POSITIVE,0.5689,0.5689,0.4311
"The group also plans to launch the 270 room Atria Grand , Whitefield , a five star luxury hotel , in 2009 .",POSITIVE,0.9965,0.9965,0.0035
"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",NEGATIVE,0.9951,0.0049,0.9951
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",POSITIVE,0.9953,0.9953,0.0047
"The handset also features a Media Bar for quick access to favorite media and applications , including music , photos , YouTube or Ovi Share .",POSITIVE,0.5717,0.5717,0.4283
"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",POSITIVE,0.9829,0.9829,0.0171
"The important thing now is to keep the bank 's existing 15,000 customers .",POSITIVE,0.998,0.998,0.002
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",POSITIVE,0.9987,0.9987,0.0013
The interchange of Editors-in-Chief is a part of publisher 's goal to enhance job circulation in all personnel groups .,POSITIVE,0.996,0.996,0.004
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,POSITIVE,0.6917,0.6917,0.3083
The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,POSITIVE,0.9698,0.9698,0.0302
"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",POSITIVE,0.996,0.996,0.004
"The Lemminkainen Group , headquartered in Helsinki , Finland operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",POSITIVE,0.9961,0.9961,0.0039
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",POSITIVE,0.9987,0.9987,0.0013
"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",POSITIVE,0.9985,0.9985,0.0015
"The most popular mobile data services are email , surfing the internet , as well as news and weather services .",POSITIVE,0.763,0.763,0.237
The new B shares carry the right to dividend and other shareholder rights with effect from today .,POSITIVE,0.9908,0.9908,0.0092
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,POSITIVE,0.9978,0.9978,0.0022
The office space will rise above the remodeled Cannon Street underground station .,POSITIVE,0.9988,0.9988,0.0012
"The official opening of the office , located in Prague , will be celebrated on May 20 .",POSITIVE,0.9996,0.9996,0.0004
The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant .,NEGATIVE,0.9765,0.0235,0.9765
"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",POSITIVE,0.9456,0.9456,0.0544
"The opportunity will be available only for few employees , however .",NEGATIVE,0.868,0.132,0.868
"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",NEGATIVE,0.8881,0.1119,0.8881
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,NEGATIVE,0.8185,0.1815,0.8185
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,NEGATIVE,0.8015,0.1985,0.8015
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",NEGATIVE,0.9781,0.0219,0.9781
The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,POSITIVE,0.998,0.998,0.002
"The program included operational improvements and reductions in personnel , mainly in the Netherlands .",NEGATIVE,0.5885,0.4115,0.5885
The project is expected to be completed in 2009 .,POSITIVE,0.8319,0.8319,0.1681
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",POSITIVE,0.9345,0.9345,0.0655
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",POSITIVE,0.9988,0.9988,0.0012
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",POSITIVE,0.9861,0.9861,0.0139
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",POSITIVE,0.9861,0.9861,0.0139
"The Russian government will contribute 20 % of the necessary funds , he said .",POSITIVE,0.9749,0.9749,0.0251
"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",POSITIVE,0.9443,0.9443,0.0557
"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",NEGATIVE,0.8609,0.1391,0.8609
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,POSITIVE,0.568,0.568,0.432
The service developed by Digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools .,POSITIVE,0.995,0.995,0.005
The share of the share capital of both above mentioned shareholders remains below 5 % .,NEGATIVE,0.9993,0.0007,0.9993
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,POSITIVE,0.949,0.949,0.051
"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",NEGATIVE,0.9968,0.0032,0.9968
The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,NEGATIVE,0.8659,0.1341,0.8659
"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .",POSITIVE,0.9886,0.9886,0.0114
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,POSITIVE,0.6367,0.6367,0.3633
"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",POSITIVE,0.6164,0.6164,0.3836
"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .",POSITIVE,0.9965,0.9965,0.0035
The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) .,NEGATIVE,0.9742,0.0258,0.9742
The trade is in accordance with the agreement announced on 26 March 2008 .,POSITIVE,0.9936,0.9936,0.0064
The transaction is expected to be completed next spring .,POSITIVE,0.808,0.808,0.192
The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers .,NEGATIVE,0.8889,0.1111,0.8889
The veneer and plywood industry in Sweden is quite small despite the raw material resources .,NEGATIVE,0.9992,0.0008,0.9992
The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,POSITIVE,0.997,0.997,0.003
"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .",NEGATIVE,0.9537,0.0463,0.9537
"They re in a race with Google to get lots of users onto their service as social networking creates new business models , said Martin Garner , a London-based analyst with CCS Insight .",POSITIVE,0.8691,0.8691,0.1309
This beauty is an updated version of her chichi loop shade launched in 2001 .,POSITIVE,0.9997,0.9997,0.0003
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",NEGATIVE,0.9748,0.0252,0.9748
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",NEGATIVE,0.5522,0.4478,0.5522
Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .,NEGATIVE,0.9917,0.0083,0.9917
Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,POSITIVE,0.9919,0.9919,0.0081
Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .,NEGATIVE,0.9939,0.0061,0.9939
Uponor maintains its full-year guidance for 2010 .,POSITIVE,0.9846,0.9846,0.0154
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",NEGATIVE,0.9975,0.0025,0.9975
"Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 ( 1 ) The Annual General Meeting of Vaisala Oyj decided on March 25 , 2010 to approve the Company 's annual accounts for 2009 .",POSITIVE,0.8588,0.8588,0.1412
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,POSITIVE,0.9993,0.9993,0.0007
Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,NEGATIVE,0.6888,0.3112,0.6888
What would you like to see changed on Nokia 's next attempt ?,NEGATIVE,0.777,0.223,0.777
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",POSITIVE,0.9997,0.9997,0.0003
"Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 .",POSITIVE,0.5826,0.5826,0.4174
"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",POSITIVE,0.9946,0.9946,0.0054
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",NEGATIVE,0.7404,0.2596,0.7404
You are warmly welcome !,POSITIVE,0.9999,0.9999,0.0001
Approval by shareholders of Cencorp in accordance with Finnish law .,POSITIVE,0.9966,0.9966,0.0034
"Tikkurila has an interesting growth strategy , which we support .",POSITIVE,0.9997,0.9997,0.0003
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,NEGATIVE,0.9901,0.0099,0.9901
` The investment in Matka-Vekka has been reasonable for investors in CapMan funds . ',NEGATIVE,0.7186,0.2814,0.7186
"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",POSITIVE,0.9908,0.9908,0.0092
"`` As defences mature , attackers develop Trojans that are equipped with content filters to detect online banking activity for capturing account details using methods such as form grabbing , screen shots , video captures , keylogging and injection of form fields .",NEGATIVE,0.9975,0.0025,0.9975
`` Nokia is just interested in bring Nokia to the market . '',POSITIVE,0.9968,0.9968,0.0032
`` Our aim is to understand different traffic patterns based on the use of each building .,POSITIVE,0.9889,0.9889,0.0111
`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development .,POSITIVE,0.9586,0.9586,0.0414
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations .,POSITIVE,0.9618,0.9618,0.0382
`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . '',POSITIVE,0.999,0.999,0.001
`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,POSITIVE,0.9912,0.9912,0.0088
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,POSITIVE,0.9994,0.9994,0.0006
"`` The bond gathered subscriptions from some 400 investors and the issued amount can be considered substantial taking into account the main target group -- retail investors , '' Citycon CFO Eero Sihvonen said .",POSITIVE,0.9944,0.9944,0.0056
`` The flex is a small price to pay for happy lenders . '',POSITIVE,0.6442,0.6442,0.3558
"`` The industry is coming to an interesting fork in the road as both handset manufacturers and wireless carriers attempt to serve as the portal for Web-based service to your wireless handset , '' he wrote .",NEGATIVE,0.9862,0.0138,0.9862
"`` Tom Doring has a long and successful career in the drives business , and he knows the American market .",POSITIVE,0.9996,0.9996,0.0004
`` With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,POSITIVE,0.9988,0.9988,0.0012
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,NEGATIVE,0.9184,0.0816,0.9184
"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership .",POSITIVE,0.9965,0.9965,0.0035
6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,NEGATIVE,0.8682,0.1318,0.8682
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,POSITIVE,0.9991,0.9991,0.0009
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",POSITIVE,0.6314,0.6314,0.3686
A PLUMBING business has announced it is sponsoring a professional darts player .,NEGATIVE,0.6951,0.3049,0.6951
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",POSITIVE,0.9701,0.9701,0.0299
Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,NEGATIVE,0.9178,0.0822,0.9178
"After piloting , the instrument will be further developed according to the experiences gained .",NEGATIVE,0.771,0.229,0.771
"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",NEGATIVE,0.5173,0.4827,0.5173
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,NEGATIVE,0.9974,0.0026,0.9974
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,POSITIVE,0.8581,0.8581,0.1419
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,POSITIVE,0.9371,0.9371,0.0629
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",NEGATIVE,0.9826,0.0174,0.9826
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .",NEGATIVE,0.9615,0.0385,0.9615
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",POSITIVE,0.9463,0.9463,0.0537
BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,POSITIVE,0.9984,0.9984,0.0016
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,POSITIVE,0.9973,0.9973,0.0027
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,POSITIVE,0.9949,0.9949,0.0051
"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .",POSITIVE,0.9989,0.9989,0.0011
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,NEGATIVE,0.9224,0.0776,0.9224
"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices .",POSITIVE,0.8975,0.8975,0.1025
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",POSITIVE,0.9733,0.9733,0.0267
Customers in a wide range of industries use our stainless steel and services worldwide .,POSITIVE,0.9974,0.9974,0.0026
Delivery will start immediately in June 2008 and will be completed in 2008 .,POSITIVE,0.992,0.992,0.008
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",POSITIVE,0.9957,0.9957,0.0043
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,NEGATIVE,0.6124,0.3876,0.6124
Elisa will expand the use of this technology provided the pilot proves successful .,POSITIVE,0.9981,0.9981,0.0019
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",POSITIVE,0.9994,0.9994,0.0006
Europe needs 17 new large paper machines .,NEGATIVE,0.9874,0.0126,0.9874
Exel wants to serve its industrial customers with individual products .,NEGATIVE,0.9642,0.0358,0.9642
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",POSITIVE,0.7095,0.7095,0.2905
"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",NEGATIVE,0.9862,0.0138,0.9862
"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .",NEGATIVE,0.9956,0.0044,0.9956
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,POSITIVE,0.9944,0.9944,0.0056
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",NEGATIVE,0.8601,0.1399,0.8601
"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",POSITIVE,0.9972,0.9972,0.0028
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",POSITIVE,0.7739,0.7739,0.2261
He is resting comfortably and is looking forward to getting back to work . '',POSITIVE,0.9995,0.9995,0.0005
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",NEGATIVE,0.9955,0.0045,0.9955
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",POSITIVE,0.9858,0.9858,0.0142
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",NEGATIVE,0.9885,0.0115,0.9885
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",POSITIVE,0.9838,0.9838,0.0162
"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .",POSITIVE,0.9988,0.9988,0.0012
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",POSITIVE,0.9993,0.9993,0.0007
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",POSITIVE,0.9937,0.9937,0.0063
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",POSITIVE,0.9827,0.9827,0.0173
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",POSITIVE,0.9452,0.9452,0.0548
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",POSITIVE,0.994,0.994,0.006
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",POSITIVE,0.9996,0.9996,0.0004
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,POSITIVE,0.9697,0.9697,0.0303
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,NEGATIVE,0.9831,0.0169,0.9831
